,0
565,feb
566,februari
567,feder
568,feed
569,feel
570,fell
571,fellow
572,felt
573,fertilis
574,fewer
575,field
576,fight
577,figur
578,file
579,film
580,fin
581,final
582,financ
583,financi
584,find
585,finemedium
586,firm
587,first
588,fiscal
589,five
590,fiveyear
591,fix
592,flight
593,float
594,floor
595,fluctuat
596,flurri
597,fo
598,focu
599,follow
600,food
601,foodgrain
602,foot
603,forc
604,forecast
605,foreign
606,foreignflag
607,form
608,formal
609,former
610,formerli
611,forum
612,forward
613,found
614,foundat
615,four
616,fourth
617,fouryear
618,franc
619,francico
620,francoamerican
621,francoi
622,free
623,freedom
624,freefal
625,freeportmcmoran
626,freight
627,fremantl
628,french
629,friction
630,friday
631,frost
632,frown
633,frozen
634,fructos
635,fujitsu
636,full
637,fulli
638,fullydilut
639,fund
640,fundament
641,futur
642,g
643,ga
644,gaf
645,gain
646,gallon
647,game
648,gap
649,gasolin
650,gatt
651,gaug
652,gave
653,gener
654,geneva
655,genova
656,german
657,germani
658,get
659,giant
660,give
661,given
662,global
663,gloomi
664,gmt
665,gnp
666,go
667,goal
668,gobetween
669,gold
670,good
671,govern
672,graco
673,grade
674,gradual
675,grain
676,grant
677,graphic
678,grave
679,great
680,greater
681,grind
682,gross
683,group
684,grow
685,growth
686,guesstim
687,guid
688,guillaum
689,half
690,hampshir
691,happen
692,harbor
693,hard
694,harlow
695,harm
696,harvest
697,havent
698,head
699,healthi
700,heat
701,heavili
702,hedg
703,heed
704,held
705,help
706,henc
707,herley
708,heyman
709,hfc
710,high
711,higher
712,highest
713,hightechnolog
714,hindsight
715,hoechst
716,hog
717,hold
718,holder
719,home
720,hope
721,horizon
722,hostil
723,hous
724,howard
725,howev
726,huge
727,hunger
728,idc
729,idea
730,ideal
731,identifi
732,ignor
733,imbal
734,immedi
735,immun
736,impact
737,impati
738,import
739,impos
740,improv
741,inabl
742,inappropri
743,inc
744,includ
745,inconclus
746,incorrect
747,increas
748,inde
749,indeped
750,independ
751,india
752,indian
753,indianapoli
754,indic
755,indonesia
756,indonesian
757,industri
758,industrial
759,industrialis
760,inflow
761,influenc
762,influenti
763,inform
764,ingot
765,initi
766,ink
767,input
768,inseper
769,insist
770,instead
771,institut
772,instruct
773,instrument
774,integr
775,intellig
776,intend
777,intent
778,interact
779,interbank
780,interest
781,intermedi
782,intern
783,interven
784,intervent
785,interview
786,invest
787,investor
788,involv
789,iranian
790,iri
791,irrig
792,irwin
793,issu
794,istituto
795,ita
796,itali
797,italian
798,itc
799,itoh
800,j
801,jacqu
802,jame
803,jamesport
804,jan
805,januari
806,januarymarch
807,japan
808,japanes
809,jean
810,jerom
811,johnson
812,join
813,joint
814,jointli
815,journal
816,journalist
817,juli
818,jun
819,june
820,junior
821,keen
822,keep
823,key
824,kick
825,kiichi
826,king
827,kleervu
828,knickerbock
829,know
830,knowledg
831,known
832,koehler
833,kongsberg
834,korea
835,korean
836,la
837,lade
838,lag
839,larg
840,larger
841,largest
842,last
843,late
844,later
845,latest
846,latin
847,law
848,lawson
849,lb
850,le
851,lead
852,leader
853,learn
854,least
855,leav
856,lectur
857,led
858,lee
859,left
860,legisl
861,lehman
862,lend
863,lengthi
864,lessen
865,let
866,letter
867,level
868,leverag
869,liberalis
870,libya
871,licenc
872,lieu
873,like
874,limit
875,line
876,liner
877,link
878,liquid
879,lira
880,list
881,littl
882,live
883,lme
884,lo
885,loan
886,local
887,logic
888,london
889,long
890,longhaul
891,longterm
892,look
893,loom
894,loss
895,lost
896,lot
897,loui
898,louvr
899,low
900,lower
901,lowest
902,lp
903,ltd
904,lynch
905,lyphom
906,ma
907,machin
908,macnealschwendl
909,made
910,magnet
911,main
912,mainli
913,maintain
914,maiz
915,major
916,majorityown
917,make
918,maker
919,malcolm
920,manag
921,mani
922,manufactur
923,march
924,margin
925,marin
926,maritim
927,mark
928,market
929,martha
930,maryland
931,mason
932,mass
933,massiv
934,materi
935,matter
936,matthey
937,matur
938,maximum
939,may
940,mayb
941,maynard
942,mcf
943,mdc
944,mean
945,meanwhil
946,measur
947,mediterranean
948,medium
949,mediumrang
950,mediums
951,mediumterm
952,meet
953,megad
954,melbourn
955,member
956,memphi
957,mention
958,mercantil
959,merchandis
960,merchant
961,merg
962,merger
963,merril
964,metal
965,meterolog
966,mexico
967,mge
968,microchip
969,micrograph
970,microsoft
971,microwav
972,midapril
973,middl
974,midpoint
975,midwest
976,might
977,mile
978,millet
979,million
980,milo
981,minim
982,minist
983,ministri
984,minneapoli
985,minu
986,missil
987,miyazawa
988,mln
989,mlotok
990,modifi
991,monday
992,monetari
993,money
994,monopoli
995,monopolis
996,monsoon
997,montagu
998,montgomeri
999,month
1000,monthli
1001,morn
1002,moscow
1003,mostli
1004,motiv
1005,mount
1006,move
1007,movement
1008,mth
1009,mthli
1010,much
1011,multilater
1012,must
1013,n
1014,nabisco
1015,name
1016,narrow
1017,nation
1018,nd
1019,near
1020,necessari
1021,need
1022,neg
1023,negoti
1024,neighbour
1025,neither
1026,nervous
1027,neslemur
1028,net
1029,netback
1030,new
1031,newport
1032,news
1033,next
1034,nich
1035,nickel
1036,nigel
1037,night
1038,nil
1039,nine
1040,nj
1041,nobodi
1042,nomin
1043,nomura
1044,nonbank
1045,noninflationari
1046,nonvot
1047,norfolk
1048,north
1049,norway
1050,norwegian
1051,note
1052,noth
1053,notic
1054,npak
1055,nppc
1056,nuclear
1057,number
1058,nv
1059,nyse
1060,obscur
1061,observ
1062,obtain
1063,occur
1064,oct
1065,octob
1066,offer
1067,offexchang
1068,offici
1069,offset
1070,offshor
1071,oil
1072,okay
1073,oldest
1074,olein
1075,one
1076,ontario
1077,onto
1078,opec
1079,open
1080,oper
1081,opert
1082,opportun
1083,oppos
1084,optimist
1085,option
1086,optiongr
1087,order
1088,organ
1089,origin
1090,osr
1091,other
1092,ounc
1093,outlin
1094,outlook
1095,output
1096,outstand
1097,overal
1098,oversea
1099,own
1100,owner
1101,p
1102,pacif
1103,pact
1104,paid
1105,pain
1106,pair
1107,pak
1108,pakistan
1109,palm
1110,panel
1111,paper
1112,parcel
1113,pari
1114,parliamentari
1115,part
1116,parti
1117,particip
1118,particp
1119,particularli
1120,partner
1121,pass
1122,past
1123,pasteur
1124,patent
1125,paul
1126,pay
1127,payabl
1128,payment
1129,payout
1130,pct
1131,peac
1132,peak
1133,peg
1134,pend
1135,penobscot
1136,peopl
1137,per
1138,percentag
1139,period
1140,perman
1141,permian
1142,petroleum
1143,phoenix
1144,photocopi
1145,physic
1146,piedmont
1147,piw
1148,plan
1149,plant
1150,plc
1151,plu
1152,plung
1153,point
1154,polici
1155,polit
1156,poll
1157,pool
1158,poor
1159,pork
1160,port
1161,pose
1162,posit
1163,possibl
1164,post
1165,posti
1166,potenti
1167,pounc
1168,pound
1169,poverti
1170,power
1171,practic
1172,predict
1173,prefer
1174,preliminari
1175,prepar
1176,prereleas
1177,presenc
1178,present
1179,presid
1180,press
1181,pressur
1182,pretax
1183,prevent
1184,previou
1185,previous
1186,preweekend
1187,prey
1188,price
1189,prime
1190,princeton
1191,princip
1192,prior
1193,prioriti
1194,privat
1195,problem
1196,procedur
1197,process
1198,produc
1199,product
1200,profit
1201,profittak
1202,program
1203,programm
1204,progress
1205,project
1206,prolong
1207,promis
1208,prompt
1209,promptli
1210,properti
1211,propos
1212,protect
1213,protection
1214,protectionist
1215,protest
1216,prove
1217,proven
1218,provid
1219,provis
1220,provision
1221,proxi
1222,prv
1223,psa
1224,pseudorabi
1225,public
1226,publicli
1227,publish
1228,puls
1229,punt
1230,punta
1231,purchas
1232,purpos
1233,pursu
1234,push
1235,put
1236,qt
1237,qtli
1238,qtr
1239,qtrli
1240,qualiti
1241,quantiti
1242,quarter
1243,quarterli
1244,question
1245,quickli
1246,quiet
1247,quota
1248,qwtr
1249,r
1250,rain
1251,rais
1252,ralli
1253,rand
1254,rang
1255,rate
1256,rather
1257,raymond
1258,rbd
1259,rd
1260,reach
1261,react
1262,reaction
1263,reagan
1264,realli
1265,realti
1266,reap
1267,reason
1268,reassert
1269,rebat
1270,recapit
1271,receiv
1272,recent
1273,reclaim
1274,recommend
1275,reconsid
1276,record
1277,recoveri
1278,redoglia
1279,reduc
1280,reduct
1281,reebok
1282,reenter
1283,refer
1284,refin
1285,refineri
1286,reflect
1287,reform
1288,refus
1289,regard
1290,regular
1291,regulatori
1292,reject
1293,relat
1294,remain
1295,remark
1296,remov
1297,renegoti
1298,renew
1299,rental
1300,repli
1301,report
1302,reportedli
1303,repres
1304,repurchas
1305,request
1306,requir
1307,research
1308,reserv
1309,resili
1310,resist
1311,resolut
1312,resourc
1313,respect
1314,respond
1315,respons
1316,rest
1317,restat
1318,restrict
1319,restructur
1320,result
1321,resum
1322,retend
1323,retir
1324,retreat
1325,return
1326,reuter
1327,rev
1328,revenu
1329,revers
1330,review
1331,revis
1332,rice
1333,rich
1334,richard
1335,richest
1336,ricostruzion
1337,right
1338,ripost
1339,rise
1340,risk
1341,ritterbusch
1342,rival
1343,rjr
1344,road
1345,robert
1346,rocket
1347,rockport
1348,role
1349,ronald
1350,room
1351,rose
1352,rotoroot
1353,round
1354,royal
1355,royalti
1356,rule
1357,run
1358,russian
1359,safeguard
1360,said
1361,sale
1362,salomon
1363,samuel
1364,san
1365,satisfi
1366,saudi
1367,save
1368,saw
1369,say
1370,scale
1371,schedul
1372,scienc
1373,scott
1374,screen
1375,seashor
1376,seat
1377,sec
1378,second
1379,secretari
1380,section
1381,sector
1382,secur
1383,see
1384,seed
1385,seek
1386,seem
1387,seen
1388,select
1389,sell
1390,semiconductor
1391,senat
1392,senior
1393,separ
1394,seper
1395,sept
1396,septemb
1397,serf
1398,seri
1399,serv
1400,servic
1401,session
1402,set
1403,settl
1404,settlement
1405,seven
1406,seventh
1407,sever
1408,shaken
1409,share
1410,sharehold
1411,sharp
1412,sharpli
1413,shearson
1414,ship
1415,shipbuild
1416,shipley
1417,shipment
1418,shoe
1419,shop
1420,shortag
1421,shorterrang
1422,shortrang
1423,show
1424,shown
1425,shr
1426,side
1427,siebel
1428,sign
1429,signal
1430,signifi
1431,silver
1432,similar
1433,simultan
1434,sinc
1435,singapor
1436,singl
1437,sit
1438,situat
1439,six
1440,sixth
1441,size
1442,slain
1443,slaughter
1444,slightli
1445,slow
1446,small
1447,societi
1448,soft
1449,sold
1450,solv
1451,someon
1452,sometim
1453,somewhat
1454,soon
1455,sorghum
1456,sourc
1457,south
1458,southern
1459,southmark
1460,southwest
1461,soviet
1462,soybean
1463,soyoil
1464,spa
1465,space
1466,span
1467,spare
1468,speak
1469,special
1470,specialist
1471,specialti
1472,specif
1473,specifi
1474,specul
1475,speed
1476,sperri
1477,split
1478,spokesman
1479,spokeswoman
1480,spot
1481,spotlight
1482,spread
1483,squeez
1484,srw
1485,st
1486,stabil
1487,stabilis
1488,stabl
1489,stake
1490,stand
1491,standard
1492,starch
1493,start
1494,state
1495,statement
1496,stateown
1497,stay
1498,stc
1499,steadi
1500,steadili
1501,steel
1502,steep
1503,steer
1504,step
1505,sterl
1506,stg
1507,stick
1508,still
1509,stimul
1510,stock
1511,stockhold
1512,stocksanacomp
1513,stood
1514,store
1515,strateg
1516,strategi
1517,street
1518,strength
1519,stress
1520,strong
1521,stronger
1522,stronghold
1523,structur
1524,studi
1525,stunt
1526,subcontract
1527,subdivis
1528,subdu
1529,subject
1530,submit
1531,subordin
1532,subsequ
1533,subsidiari
1534,substanti
1535,succeed
1536,suffic
1537,suffici
1538,sugar
1539,suggest
1540,sullivan
1541,sun
1542,supercomput
1543,superior
1544,superpow
1545,supersed
1546,suppli
1547,support
1548,surplu
1549,surrey
1550,survey
1551,sweeten
1552,swiss
1553,sydney
1554,syndrom
1555,syrup
1556,system
1557,tabl
1558,tackl
1559,taiwan
1560,take
1561,taken
1562,takeov
1563,talk
1564,target
1565,tariff
1566,taw
1567,tax
1568,tbg
1569,tea
1570,teamster
1571,technolog
1572,telcom
1573,telecom
1574,telecommun
1575,telesi
1576,televis
1577,tell
1578,ten
1579,tender
1580,tenneco
1581,tension
1582,tent
1583,term
1584,termin
1585,terribl
1586,terror
1587,test
1588,textil
1589,th
1590,that
1591,theodor
1592,therefor
1593,thin
1594,thing
1595,think
1596,third
1597,though
1598,thousand
1599,threat
1600,threaten
1601,three
1602,threefortwo
1603,threeway
1604,thrust
1605,tie
1606,tight
1607,tigten
1608,time
1609,timminco
1610,tin
1611,tire
1612,today
1613,togeth
1614,toiletri
1615,tokyo
1616,told
1617,tomorrow
1618,tone
1619,tonn
1620,tool
1621,top
1622,total
1623,tough
1624,toward
1625,track
1626,trade
1627,trader
1628,tradit
1629,train
1630,tran
1631,transact
1632,transform
1633,transport
1634,treasuri
1635,trend
1636,troy
1637,trust
1638,tucsonm
1639,tug
1640,turbul
1641,turn
1642,turnov
1643,twa
1644,two
1645,twoday
1646,typic
1647,u
1648,uk
1649,unalloy
1650,unchang
1651,underli
1652,undermin
1653,understand
1654,understood
1655,undertak
1656,undisclos
1657,uneth
1658,unilater
1659,union
1660,unisi
1661,unit
1662,unithold
1663,univers
1664,unless
1665,unlik
1666,unmatch
1667,unpreced
1668,unsolicit
1669,unsuccess
1670,unusu
1671,unveil
1672,up
1673,upgrad
1674,uphold
1675,upon
1676,upward
1677,urg
1678,urgent
1679,uruguay
1680,usair
1681,usbas
1682,usda
1683,use
1684,usjapan
1685,usjapanes
1686,usproduc
1687,util
1688,v
1689,vaccin
1690,valu
1691,vappenfabrikk
1692,varieit
1693,variou
1694,veget
1695,versu
1696,vessel
1697,vice
1698,victor
1699,view
1700,vigrous
1701,viru
1702,visit
1703,vlsi
1704,volum
1705,vote
1706,wait
1707,wall
1708,want
1709,war
1710,warn
1711,washington
1712,watch
1713,water
1714,way
1715,weapon
1716,weaponri
1717,weather
1718,webber
1719,wednesday
1720,week
1721,weekend
1722,weekli
1723,welcom
1724,well
1725,went
1726,west
1727,westamerica
1728,westwood
1729,weve
1730,wgerman
1731,whale
1732,wheat
1733,whether
1734,white
1735,whole
1736,whose
1737,widerang
1738,will
1739,willi
1740,wilson
1741,winndixi
1742,wireless
1743,within
1744,without
1745,wont
1746,word
1747,wordwid
1748,work
1749,worker
1750,world
1751,worldwid
1752,worri
1753,worsen
1754,would
1755,written
1756,year
1757,yearend
1758,yearonyear
1759,yen
1760,yesterday
1761,yet
1762,yeutter
1763,yield
1764,york
1765,yorkbas
1766,your
1767,yr
1768,zealand
1769,zinc
