,0
19,cyclop name dixon offici board cyclop corp said reconstitut board includ three group plc execut follow dixon acquisit pct cyclop share dlr per share tender offer cyclop said remain sixmemb board chairman chief execut wh knoell presid chief oper offic jame f senior vice presid william dickey
20,mott super market inc th qtr jan shr loss ct v loss dlr net loss v loss mln rev mln v mln year shr loss ct v loss dlr net loss mln v loss mln rev mln v mnln
21,icco buffer stock manag buy tonn cocoa tuesday june offici icco buffer stock manag buy tonn cocoa tuesday june offici
22,mf manag sector trust dividend increas semiannu div incom ct v cent prior period payabl march record februari
23,major nation must act currenc miyazawa financ minist kiichi miyazawa said time come major industrialis nation take action exchang rate line agreement last month pari pari britain canada franc japan u west germani agre coooper hold currenc rate around current level miyazawa would say specif measur major nation would take told report measur discuss pari dollar fell record low yen morn pierc yen barrier
24,town countri jewelri manufactur thh qtr feb shr ct v ct net v sale mln v mln avg shr v year shr dlr v dlr net v sale mln v mln avg shr v note town countri jewelri manufactur corp
25,best product co th qtr jan net shr profit dlr v profit ct net profit mln v profit mln sale mln v mln year shr loss ct v profit eight ct net loss mln v profit sale v note current year net period includ prtax provis restructur oper dlr quarter mln dlr year latest year net includ dlr tax credit dlr posttax loss debt extinguish
26,japan ntt forecast profit fall telegraph telephon corp ntt expect profit fall billion yen year end march project billion year compani said total sale period expect rise billion yen project billion year ntt said busi oper plan submit post telecommun ministri ntt said plan make capit invest billion yen includ billion research develop total billion year
27,bank japan buy dollar around yen dealer bank japan buy dollar around yen dealer
28,japan care consid money polici sumita bank japan governor satoshi sumita said central bank care consid monetari polici light recent sharp fall dollar ask bank japan consid cut discount rate said think bank care consid futur money polici told lower hous budget committe parliament credit condit eas five discount rate cut japan sinc begin last year japan must especi care flareup inflat money suppli growth acceler said sumita said central bank would continu make judgement monetari polici watch consum price exchang rate econom financi condit outsid japan ask septemb plaza agreement failur dollar fallen far sumita said still thought pact good one sens correct overvalu dollar plaza accord set target dollar fall said dollar steep fall stem market belief trade imbal continu expand said
29,manhattan natl holder vote stock sale manhattan nation corp said sharehold overwhelmingli approv propros central life insur co took control compani acquir mln share newli issu manhattan nation common stock mln dlr compani said transact give union central cincinnatibas mutual insur compani total share manhattan nation stock pct total outstand manhattan nation said three mln dlr invest fund use repay shortterm debt two mln dlr earmark shortterm need remaind avail compani insur unit busi purpos said charl c hinkley presid chief execut offic union central expect name chairman presid chief execut manhattan nation compani said
30,argentin veget oil shipment argentin veget oil shipment januarydecemb total tonn tonn period argentin grain board said breakdown follow cotton sunflow linse groundnutse soybean tung oliv maiz rape nil nil grape nil nil board ad shipment decemb amount tonn tonn month breakdown follow tonn cotton nil sunflow linse groundnutse nil soybean tung oliv maiz nil rape nil nil grape nil nil board said ten princip destin januarydecemb compar figur period bracket follow tonn iran holland soviet union egypt algeria south africa brazil cuba unit state india board said
31,dna medic sign pact stock sale dna medic inc said walter g mize bought share pct dna outstand stock dlr cash agreement mize dna said also becom chairman may option expand board provid equal represent current board dna also said submit propos annual meet acquir three compani own mize lite meat corp lean beef corp cattl dna said total valu transact dlr dna said transact approv sharehold issu addit share common mize pct issu outstand stock dna said mize replac current chairman donald holbrook remain board compani also said continu medic develop busi long deem advantag
32,dune resourc ltd th qtr net shr profit one ct v loss two ct net profit v loss rev v year shr loss eight ct v loss three ct net loss v loss rev v
33,rio de janeiro docker strike rio de janeiro dockwork went strike indefinit period today demand wage increas spokesman docker said rio docker get support colleagu santo brazil main port spokesman said would return work unless demand met earlier week dockwork cancel schedul nation strike pressur port offici give wage increas benefit rio port spokesman said halt would caus daili loss u dlr
34,bank franc cut intervent rate bank franc said cut money market intervent rate pct eight pct inject money first categori paper bank also cut sevenday repossess rate pct pct intervent rate stood eight pct sinc rais pct januari french franc came pressur ahead em realign januari bank said purchas effect tomorrow five pct privat paper fix rate treasuri bill matur march june treasuri bill matur march march rate cut expect sinc bank announc money market intervent tender earlier today money market dealer said condit seem right quarter percentag point cut reflect eas call money rate last week french franc steadi foreign exchang market sinc februari currenc stabilis accord group five canada
35,geneva negoti un confer agre basic element new rubber pact chairman geneva negoti un confer agre basic element new rubber pact chairman
36,group five meet end meet financ minist central banker group five end nearli three half hour west german financ minist gerhard stoltenberg british chancellor exchequ nigel lawson declin comment meet emerg u treasuri european monetari offici said minist group seven countri would gather three pm local gmt treasuri
37,icco buy tonn cocoa buffer stock intern cocoa organ icco buffer stock manag bought tonn cocoa today buffer stock trader said cocoa believ entir made second hand materi ad purchas would bring cumul buffer stock purchas tonn
38,interco inc th qtr feb net shr ct v ct net v sale mln v mln year shr dlr v dlr net v sale billion v billion note result reflect twoforon stock split juli
39,consolid professor st qtr net shr profit one ct v nil net profit v loss rev v note full name consolid professor mine ltd
40,athey product corp rd qtr net shr ct v ct net v rev mln v nine mth shr dlr v ct net v rev mln v mln
41,fieldcrest cannon inc set quarterli qtli div ct v ct prior pay march record march
42,ford europ earn pct last year ford europ net earn soar per cent last year mln dlr kenneth whippl chairman ford europ said whippl attend geneva auto show open thursday said ford motor co unit sold record million vehicl europ net earn mln dlr sale repres per cent european market share whippl said ford invest billion dollar europ total seven billion next seven year ad
43,american medic intern inc nd qtr shr profit ct v loss ct american medic intern inc nd qtr shr profit ct v loss ct
44,biomet inc rd qtr feb net shr ct v ct net v rev mln v mln nine mth shr ct v ct net v rev mln v mln
45,malaysian econom growth seen forecast develop bank singapor ltd db said malaysia real gross domest product growth gdp could two pct budget target one pct said report econom recoveri higher foreign exchang reserv malaysian ringgit unlik face devalu near futur report present twoday invest confer organis db one singapor four major bank report said rise commod price continu expans manufactur sector coupl rigor fiscal restraint stabl currenc ground cautiou optim malaysian economi forecast ringgit remain stabl malaysian dlr u dollar rest year report said growth rate malaysia extern debt remain worri control said malaysia extern debt total billion malaysian dlr debt servic ratio exce pct
46,enseco inc th qtr loss oper shr loss six ct v profit seven ct oper net loss v profit rev v avg shr mln v mln year oper shr loss six ct v profit ct oper net loss v profit rev mln v mln avg shr mln v mln note exclud extraordinari credit four ct share fourth quarter ct year
47,bhp merg bhp miner utah intern broken hill pti co ltd said merg bhp miner divis intern inc singl busi unit common manag structur merger effect june coincid retir utah intern chairman chief execut bud wilson bhp said statement new bhputah miner intern group head jim curri execut gener manag chief execut offic curri current execut vicepresid utah intern bhp said petroleum america inc formerli part utah intern becom subsidiari bhp renam petroleum intern petroleum pti ltd compani said bhp also bring queensland coal oper one manag structur consolid miner market sale offic variou market throughout world bhp acquir utah gener electr co utah asset includ stake pct seven larg central queensland coke mine pct samarco iron ore oper brazil pct la escondida copper deposit chile island copper mine port hardi canada pct coal mine pct gold mine south africa coal mine u bhp miner asset includ wholli partlyown iron ore mine coal mine manganes basemet oper prospect pct ok tedi goldcopp project papua new guinea
48,wgerman cocoa grind pct first quarter west german cocoa grind rose pct tonn first quarter tonn quarter bonnbas confectioneri industri associ said statement reuter taw
49,current exchang rate almost within level agre major nation sumita current exchang rate almost within level agre major nation sumita
50,u warn depend foreign oil white houseord report said grow u relianc foreign oil year could potenti damag implic nation secur energi depart studi discu sever option curb relianc foreign oil make recommend presid reagan congressman previous rule tax foreign oil way curb import help depress domest oil industri energi secretari john herrington said statement although made gain energi secur last six year report show justif nation concern declin competit domest oil ga industri rise oil import report said import last year pct u consumpt mid could rise pct among report option eas u relianc foreign oil sever alreadi advoc reagan administr presid reagan order studi last septemb cite determin countri never becom captiv foreign oil cartel refer opecl oil shortag sharp price increas report said import fee would rais price help make econom u oil firm find produc new oil well cut import whole tax would depress nation economi
51,canada bank could see pressur brazil loan canada major bank like face stiff pressur declar brazilian loan nonperform expect major u bank take similar action end first quarter tomorrow analyst said american banker said last week slow progress debt talk brazil increas likelihood u bank would soon declar brazilian loan nonperform action would put lot pressur canadian bank levesqu beaubien inc torontobas bank analyst donna pulcin told reuter bank like appear conserv said pulcin major bank put loan nonperform basi canadian bank dont go lot pressur sharehold one bank consid loan nonperform anoth bank wood gundi inc bank analyst patricia meredith said willing major brazilian bank creditor citicorp declar brazilian loan nonperform rather let brazil dictat settlement term would provid compel exampl creditor bank order make strategi work citicorp support bank said meredith bank analyst michael walsh first marathon secur ltd said least one canadian bank declin identifi want put brazilian loan nonperform basi tri encourag other take posit canadian bank owe seven billion canadian dlr brazil late last month suspend interest payment billion u dlr foreign bank debt bank canada although allow wait day declar loan receiv interest nonperform usual move loan within day could therefor delay action brazilian loan late may fall canadian bank third quarter end juli montreal brazil largest canadian bank creditor said last week current consid declar billion dlr brazilian loan nonperform think benefit public walsh said bank montreal statement analyst predict minim earn impact canadian bank move declar brazilian loan nonperform said brazil would like resum interest payment bank fiscal yearend octob thu allow bank recoup lost interest incom brazil said quit like bank get money said meredith outlook point optimist adjust fullyear earn meredith forecast fulli dilut per share earn dlr bank canada compar dlr montreal compar dlr imperi bank commerc compar dlr nova scotia compar dlr dominion bank forecast dlr bank canada dlr two one stock split analyst pulcin said might lower fullyear earn estim bank two ct ct share assum possibl settlement reduc brazil interest cost bank didnt receiv anyth rest fiscal year impact could rang ct ct share dont see like scenario pulcin said walsh first marathon suggest howev brazilian debt situat complex could drag beyond one full fiscal year said foresaw lower fiscal earn forecast bank estim brazil yearli interest payment canadian bank total mln dlr pct total pretax earn
52,italian net offici reserv fall may itali net offici reserv fell billion lira may previous report billion april bank itali said gold hold total billion lira end may unchang end april convert currenc total billion lira may billion april european currenc unit hold billion billion
53,u energi cost rose februari pct consum energi cost rose pct februari follow sharp rise last month labor depart said februari increas overal energi cost includ petroleum coal natur ga follow pct drop decemb pct rise januari said energi price pct yearago level depart consum price index show cost gasolin rose februari pct pct rise januari gasolin price nonetheless pct level februari also categori includ fuel oil coal bottl ga rose februari pct put pct yearago figur index also show natur ga electr unchang last month pct februari figur depart said index updat reflect consumpt pattern previous index base pattern
54,lawson welcom reaffirm louvr accord uk chancellor exchequ nigel lawson welcom monday reaffirm u west germani louvr accord aim stabilis currenc offic said lawson welcom outcom meet u treasuri secretari jame baker bundesbank presid karl otto poehl west german financ minist gerhard stoltenberg frankfurt meet bonn financ ministri spokesman quot stoltenberg say confid foreign currenc could stabilis around current level meet came baker criticis west germani increas key interest rate say line last februari louvr accord
55,uk money market shortag forecast mln stg bank england said forecast liquid shortag around mln stg market today among main factor bank said bill matur offici hand treasuri bill takeup would drain mln stg system target banker balanc rise note circul would take mln mln stg respect partial offset exchequ transact would add around mln stg bank ad
56,itt corp regular qtrli dividend qtli div ct v ct prior payabl juli one record may
57,zenith nation insur qtli dividend shr ct v ct prior qtr pay may record april note full name zenith nation insur corp
58,great countri bank rd qtr net qtr end feb shr ct v na net v nine mth shr dlr v na net v asset mln v mln deposit mln v mln loan mln v mln note earn per share data present great countri bank convert mutual capit stock save bank jan inform mislead inappropri compani said
59,home feder savingsrocki rd qtr shr ct v nil net v nine mth shr dlr v ct net v asset mln v mln note full name compani home feder save loan associ rocki
60,hanson unit sell kaiser terminalpl hanson industri u arm hanson trust plc said propos sell separ transact kaiser cement northwest termin montana citi plant lone star industri inc grove cement west inc respect total mln dlr hanson said deal subject normal condit close hanson industri complet purchas kaiser cement march mln dlr hanson said kaiser cement indirect wholli own unit hanson trust form part build product group sale continu asset redeploy program kaiser cement allow kaiser concentr effort california marketplac largest cement produc hold premier market posit hanson industri chairman gordon white said
61,union protest dart supermarket bid unit food commerci worker said rankandfil member union demonstr monday dart group corp headquart protest dart propos billion dlr takov supermarket gener supermarket best known pathmark chain supermarket drug store new york new jersey area also own rickel home center union said firmli dart bid worker alway end raw deal current takeov mania union statement said intend allow member pick tab supermarket gener execut banker dart group stand make million dart control haft famili washington last year made bid californiabas safeway store inc haft lost walk away least mln dlr profit analyst estim union said dart safeway bid forc major restructur safeway pay haft lawyer caus loss thousand job
62,p f industri inc th qtr net oper shr ct v ct oper net v rev mln v mln avg shr v year oper shr ct v ct oper net v rev mln v mln avg shr v note net exclud tax credit dlr v dlr quarter dlr v dlr year share adjust oneforf revers split octob
63,morgan bank plan warrant gold dlr morgan guaranti trust co new york plan issu warrant gold bullion dlr ounc lead manag morgan guaranti switzerland ag said warrant price swiss franc entitl holder acquir fiveounc bar gold period april juli exercis wednesday warrant repres unsecur unsubordin liabil borrow payment due april quotat luxembourg bours plan warrant exercis would repaid current dollar base valu gold exercis date condit repres premium dlr ounc current gold price morgan switzerland offici said basi matur four year three month price involv implicit volatil gold pct warrant money compar implicit volatil pct indosuez gold warrant pct citibank gold warrant recent issu matur month
64,healthvest buy tennesse medic complex healthvest said acquir eastwood hospit medic complex memphi healthcar intern inc mln dlr cash healthcar intern continu oper hospit leas agreement compani said
65,counti increas tesco stake hillard ltd act concert tesco plc mln stg supermarket chain oper plc purchas hillard ordinari share p per share statement said purchas togeth made counti march repres pct hillard issu ordinari share capit said tesco offer made march valu hillard ordinari share p pct premium previou day close price cash altern p made avail
66,inc year net shr ct v dlr net v rev v note shr novemb class subordin float share issu
67,kirin breweri co ltd year januari parent shr yen v div yen v net billion v billion current billion v billion oper billion v billion sale billion v billion outstand shr mln v mln note dividend includ two yen bonu dividend mark th anniversari compani forecast current year parent shr yen div yen net billion current billion sale billion
68,beghinsay see solut ec sugar disput settlement could soon reach disput european sugar produc european commun ec export licenc polici jeanmarc vern presid french sugar produc beghinsay lead protest told journalist today contact ec author past day indic move toward solut said ad happen produc would withdraw tonn sugar offer intervent vern said protest involv tonn sugar french produc alon prompt ec polici sinc mid offer export rebat fail give produc equival price would obtain offer sugar ec intervent last week tender ec commiss made appar concess offer maximum rebat european currenc unit ecu per kilo level produc say need compar previou week rebat ecu necessari level vern would say form compromis produc ec would take reaffirm longterm desir produc export world market provid lose money produc withdraw intervent offer april sugar offici enter intervent store time follow five week offici payment date ec threaten put sugar back intern market produc refus withdraw offer
69,gener refractori sell oper gener refractori co said agre sell european refractori build product oper mln dlr austrian investor group european oper sale mln dlr last year result releas compani said sale group head girozentral bank austria subject sharehold approv april said board approv deal said gener refractori miner oper affect
70,west texa cotton crop unscath storm west texa cotton crop larg unscath isol thunderstorm region last night pack hurricaneforc wind crop weather expert said might isol storm certainli noth damag said charl stichler extens agronomist agricultur extens servic far west texa rumor damag storm west texa help new york cotton futur market ralli sharpli morn cotton decemb deliveri cent higher cent lb midsess peak morn cent happen storm hit lubbock airport happen everybodi see said dale mohler senior meteorologist accuweath inc lubbock heart west texa cotton region produc pct state crop storm produc wind mph that hurrican forc isol small portion west texa area probabl le five pct mohler said doubt damag hit juli august fruit would underway would wors mohler said pct west texa cotton crop plant remaind could done weekend weather remain hot dri stichler said temperatur west texa sinc midweek degre hot spell sore need far heavier normal rainfal sever week said
71,turkish ship oil row head aegean turkish research ship escort warship air forc plane left aegean press ankara case escal row greec oil right semioffici anatolian news agenc said ship set morn dardanel port canakkal flag fli watch sightseer agenc said prime minist turgut ozal said last night ship would go intern water unless greec wait first move told turkish radio london
72,british petroleum rais north sea butan price dlr tonn today british petroleum rais north sea butan price dlr tonn today
73,gencorp sue gener partner gencorp inc said file suit unsolicit dlrashar tender offer wagner brown afg industri gencorp said seek injunct offer violat feder secur law margin regul gencorp also said board care studi offer make decis whether sharehold accept reject march
74,usa year net shr ct v ct net v rev mln v mln
75,santa anita realti quarterli dividend qtli div ct v ct pay april record march santa anita realti enterpris inc
76,cdc life scienc stake sold canada develop corp said agre sell pct interest cdc life scienc inc caiss de depot et placement du quebec provinci pension fund manag institut merieux french biolog laboratori compani mln dlr said caiss institut merieux buy mln common share compani dlr share said follow transact caiss hold pct cdc life scienc canada develop said purchas plan acquir remain publiclyheld share
77,industri ltd year net shr ct v ct net mln v mln rev mln v mln avg shr mln v mln note prior year shr restat june twoforon stock split
78,german produc price fall pct march west german produc price fell pct march compar februari stand pct lower march last year feder statist offic said februari produc price fell pct januari drop pct level year earlier statist offic said produc price natur ga fallen pct march februari heavi heat oil price pct liquefi ga price fell pct coffe pct cheaper
79,northern trust corp st qtr net shr ct v ct net mln v mln asset billion v billion loan billion v billion deposit billion v billion
80,la quinta motor inn inc qtr feb net shr profit ct v loss nine ct net profit v loss rev mln v mln nine mth shr profit ct v profit ct net profit v profit rev mln v mln avg shr mln v mln note current net includ gain sale inn dlr qtr dlr nine mth
81,peru sell state firm cut budget deficit peru sell stateown firm trim project mln dlr loss year among governmentown compani compani would sold entireti other would privatis partial accord jose palomino presid govern state compani hold firm nation develop council conad told report radio interview aim slim project public sector firm deficit billion inti say foreign would allow buy part compani independ economist warn deficit could push inflat pct goven target pct palomino said aeroperu govern flagship airlin jet fleet would issu stock purchas privat investor compani regist first profit eight year earn mln inti pretax profit peru nonfinanci state firm palomino said govern would soon publish list sold includ whose share would offer lima stock exchang last novemb palomino said conad plan includ possibl sale compani produc palm oil anoth manufactur electr applianc share could also sold copper mine empresa nacion tintaya sa southern state arequipa neither palomino conad gener manag enriqu estremadoyro avail comment whether foreign would allow purchas compani secretari said offic jose antonio almenara gener manag lima stock exchang share stateown firm could sold told reuter foreign could purchas stock exchang taxpay resid peru said foreign stockhold cannot remit profit abroad least juli
82,dominion resourc inc st qtr net shr dlr v dlr net mln v mln rev mln v mln avg shr mln v mln mth shr dlr v dlr net mln v mln rev billion v billion avg shr mln v mln
83,diceon electron buy symtron corp diceon electron inc said enter agreement princip buy closelyheld symtron corp stock exchang transact pact diceon would exchang share stock symtron share acquisit subject board approv definit agreement expect conclud may diceon said symtron manag would continu run busi would becom whollyown subsidiari symtron sale mln dlr
84,rank organis current trade satisfactori rank organis plc said trade current year continu satisfactorili take account season fluctuat associ compani ltd indic improv perform statement issu annual meet said said plan spend mln stg refurbish odeon cinema chain rank film distributor unit commit spend mln secur intern distribut right film invest new activ continu rel high level exploit opportun growth rank said exclud possibl make larg well small acquisit year endoctob rank report rise pretax profit mln stg mln previous rank share firm morn trade quot p gmt p last night close
85,u senat uncommit offer bill senat richard lugar indiana rank republican u senat agricultur committe decid whether introduc administrationback bill appli socal provis grain crop aid senat said reagan administr ask lugar offer measur aid said howev number farm group told lugar oppos propos ground would reopen farm bill senat decid take second look propos aid said last week aid indic lugar plan offer measur bill tighten payment limit loophol
86,uk averag gdp rise pct britain gross domest product gdp averag basi output expenditur incom rose pct pct increas year earlier central statist offic cso preliminari figur show fourth quarter gdp rose pct previou quarter pct quarter averag estim index seasonallyadjust base set fourth quarter previou quarter final quarter cso said averag gdp estim index whole pct output measur gdp rose upward revis season adjust pct fourth quarter output index previou quarter give pct rise fourth quarter cso figur show incomebas gdp index fourth quarter rose pct third quarter pct yearago quarter index stood respect expenditurebas gdp rose pct fourth quarter third quarter pct quarter cso set expenditur index third quarter final quarter yearonyear rise expenditur gdp pct expenditur index whole set year earlier incom gdp yearonyear rise pct three pct year earlier ouptut gdp measur rose pct yearonyear pct govern usual consid output measur reliabl way measur shortterm gdp chang base output data product industri partial inform rest economi govern forecast averag measur gdp would rise pct calendar pct budget unveil tuesday foresaw gdp growth three pct gdp deflat base expenditur market price rose pct fourth quarter third give pct rise fourth quarter yearonyear deflat rose pct
87,bonu wheat flour north yemen usda commod credit corpor ccc accept export bonu offer cover sale long ton wheat flour north yemen u agricultur depart said wheat four shipment marchmay bonu award dlr per tonn paid form commod ccc inventori bonu award pillsburi compani wheat flour purchas complet export enhanc program initi announc april said
88,san juan basin proven reserv fall san juan basin royalti trust said prove reserv decemb estim thousand cubic foot ga barrel oil yearago period said prove reserv estim thousand cubic foot ga barrel oil said present valu futur net revenu discount pct mln dlr compar mln dlr yearago period also said net infil well econom drill decemb price
89,nz unemploy rate pct decemb quarter new zealand unemploy rate pct workforc quarter end decemb unchang revis pct preliminari pct previou quarter slightli pct yearearli quarter statist depart said depart cite household labour forc survey said statement number unemploy octob decemb septemb quarter year earlier
90,rubber produc consum start new pact talk chairman confer new intern natur rubber agreement inra manaspa xuto thailand said imper tri settl main outstand issu week inra renegoti confer resum today auspex unit nation confer trade develop unctad schedul last march xuto told deleg session confer present promis opportun conclud new pact last current accord expir octob xuto said consult repres major export import countri last month found construct attitud willing flexibl part concern imper tri settl major outstand issu cours week sinc consider amount technic draft work remain complet said immedi start consult produc consum last octob negoti collaps disagr buffer stock oper consum demand tighter buffer stock control aim prevent inra follow collaps intern tin agreement ita reject produc argu unchang inra term tin pact fail buffer stock manag ran fund support price three previou round talk rubber produc consum new fiveyear pact end without agreement inra origin due expir octob extend octob facilit renegoti wong kum choon head malaysian deleg said cautious optimist togeth abl save inra prevent scuttl without inra ad price natur rubber would becom volatil call deleg show sens purpos realiti said reason could put asid differ come successor agreement
91,ico coffe produc discu market situat intern coffe organ ico produc meet gmt est gener discuss market situat produc spokesman lindenberg sett said brazilian deleg said sever produc request meet brazil among ico execut board regular session week far confin routin matter attempt produc consum reviv export quota negoti deleg said talk restor quota collaps earli last month produc consum fail resolv differ quota alloc produc deleg said sens urgenc among produc reopen quota talk consum countri prepar wait ico annual septemb council session restart negoti member interafrican coffe organ call today produc meet exchang view market situat produc deleg said lack new debat export quota week cite reason renew weak coffe price london new york futur trader said near may london hit fiveyear low morn stg stg last night close said execut board session look set end today follow final session gmt est consult report oper ico present produc consum deleg ad
92,occident unit lift lockout iowa beef processor inc lift lockout dakota citi nebraska process plant plan resum oper march unit food commerci worker union spokesman allen zack said phone washington dc headquart iowa beef susbsidiari occident petroleum corp mail letter member ufcwu local inform lockout impos compani decemb would lift meatpack could return work iowa beef revis last best final offer accord zack letter sign four manag dakota citi plant iowa beef close proess plant indefinit middecemb said altern threat meatpack disrupt oper member local affect shutdown year labor contract plant expir decemb
93,coffe trader expect selloff ico talk fail failur intern coffe organ ico reach agreement coffe export quota could trigger massiv selloff london coffe futur least stg per tonn today coffe trade sourc said price could easili drop low dlr even cent lb year around dlr said special meet import export countri end deadlock late yesterday eight day talk set quota meet discu quota set deleg said quota major devic use stabil price intern coffe agreement suspend year ago price soar follow damag drought brazil propect quota sight heavi produc sell initi price war among commerci coffe roast compani ensu trade sourc predict lower price sure trickl supermarket shelf spring coffe dealer said u brazil largest coffe import export respect laid blame breakdown talk jon rosenbaum u assist trade repres deleg talk said statement council adjourn major produc led brazil prepar negoti new distribut base object criterion want insur countri receiv export quota base abil suppli market instead polit influenc ico brazilian coffe institut ibc presid jorio dauster counter negoti fail consum tri dictat quota negoti previous quota determin histor amount export gave brazil pct share global market mln kilo bag major produc want quota continu basic scheme consum maverick group eight produc propos carv export market basi export product stock would reduc brazil share pct consum deleg said method would reflect chang mani countri export capabl make coffe readili avail consum need lastminut attempt colombia second largest export rescu talk compromis interim propos could bring two side togeth deleg specul brazil financi problem illustr recent suspens interest payment bank debt increas polit pressur countri protect coffe export earn develop coffeeproduc countri depend heavili coffe earn particularli african nation colombia like hurt ico failur agre quota analyst said expect drop price could result loss much three billion dlr year produc deleg forecast ico execut board meet march full council due meet septemb deleg said
